contest_id,problem_index,title,description,input,output,example,note,tags,editorial_content
4,A,A. Watermelon,,Input The first (and the only) input line contains integer number w ( 1 ≤ w ≤ 100 ) — the weight of the watermelon bought by the boys.,"Output Print YES , if the boys can divide the watermelon into two parts, each of them weighing even number of kilos; and NO in the opposite case.",,"Note For example, the boys can divide the watermelon into two parts of 2 and 6 kilos respectively (another variant — two parts of 4 and 4 kilos).","brute force, math, *800",
2102,A,A. Dinner Time,,"Input Each test contains multiple test cases. The first line contains the number of test cases t ( 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The first and only line of each test case contains four integers n , m , p , and q ( 1 ≤ p ≤ n ≤ 100 , 1 ≤ q , m ≤ 100 ) — the length of the array, the sum of elements, the length of a segment, and the sum of a segment, respectively.","Output For each test case, output "" YES "" (without quotes) if there exists an array satisfying the above conditions, and "" NO "" (without quotes) otherwise. You can output "" YES "" and "" NO "" in any case (for example, strings "" yES "", "" yes "", and "" Yes "" will all be recognized as valid responses).",,"Note In the first test case, an example of an array satisfying the condition is [ 1 , 0 , 1 ] . This is because: a 1 + a 2 + a 3 = 1 + 0 + 1 = 2 = m a 1 + a 2 = 1 + 0 = 1 = q a 2 + a 3 = 0 + 1 = 1 = q In the second test case, the only array satisfying the condition is [ 1 ] . In the third test case, an example of an array satisfying the condition is [ − 2 , 5 , − 2 , 5 , − 2 ] . In the fourth test case, it can be proven that there is no array satisfying the condition.","constructive algorithms, math, *900",
2116,A,A. Gellyfish and Tricolor Pansy,,"Input Each test contains multiple test cases. The first line contains the number of test cases t t ( 1 ≤ t ≤ 10 4 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The first and only line of each test case contains four integers a a , b b , c c , d d ( 1 ≤ a , b , c , d ≤ 10 9 1 ≤ a , b , c , d ≤ 10 9 ) — the HP of Gellyfish, the HP of Flower, the HP of Gellyfish's knight, and the HP of Flower's knight, respectively.","Output For each test case, if Flower will win, output ""Flower"", otherwise output ""Gellyfish"".",,"Note In the first test case, Gellyfish has only 1 1 HP. Therefore, no matter what Gellyfish does in the first round, Flower's knight will attack Gellyfish in the second round, allowing Flower to win. In the second test case, Flower's knight has only 1 1 HP. Gellyfish will attack Flower's knight in the first round. Then Flower's knight will no longer be able to attack, allowing Gellyfish to win.","games, greedy, *800",
2121,A,A. Letter Home,,"InputEach test consists of multiple test cases. The first line contains a single integer tt (1≤t≤10001≤t≤1000) — the number of test cases. The description of the test cases follows.The first line of each test case contains two integers nn and ss (1≤n≤101≤n≤10, 1≤s≤1001≤s≤100) — the number of positions to visit and the starting position. The second line of each test case contains nn integers x1,x2,…,xnx1,x2,…,xn (1≤xi≤1001≤xi≤100). It is guaranteed that for all 1≤i<n1≤i<n, it holds that xi<xi+1xi<xi+1.","OutputFor each test case, output the minimum number of steps in any successful sequence of steps.",,"NoteIn the first test case, no steps need to be taken, so the only visited position will be 11. In the second test case, the following path can be taken: 2→12→1. The number of steps is 11. In the third test case, the following path can be taken: 1→21→2. The number of steps is 11.In the fifth test case, the following path can be taken: 2→1→2→32→1→2→3. The number of steps is 33.","brute force, math",
2107,A,A. LRC and VIP,,"Input Each test contains multiple test cases. The first line contains the number of test cases t t ( 1 ≤ t ≤ 500 1 ≤ t ≤ 500 ). The description of the test cases follows. The first line of each test case contains an integer n n ( 2 ≤ n ≤ 100 2 ≤ n ≤ 100 ). The second line of each test case contains n n integers a 1 , a 2 , … , a n a 1 , a 2 , … , a n ( 1 ≤ a i ≤ 10 4 1 ≤ a i ≤ 10 4 ).","Output For each test case, first output Yes if a solution exists or No if no solution exists. You may print each character in either case, for example YES and yEs will also be accepted. Only when there is a solution, output n integers on the second line. The i -th number should be either 1 or 2 . 1 represents that the element belongs to sequence B and 2 represents that the element belongs to sequence C . You should guarantee that 1 and 2 both appear at least once.",,"Note In the first test case, B = [ 51 , 9 ] and C = [ 1 , 20 ] . You can verify gcd ( B 1 , B 2 ) = 3 ≠ 1 = gcd ( C 1 , C 2 ) . In the second test case, it is impossible to find a solution. For example, suppose you distributed the first 3 elements to array B and then the last element to array C . You have B = [ 5 , 5 , 5 ] and C = [ 5 ] , but gcd ( B 1 , B 2 , B 3 ) = 5 = gcd ( C 1 ) . Hence it is invalid.","greedy, number theory, *800",
2112,A,A. Race,,"InputThe first line contains a single integer tt (1≤t≤10001≤t≤1000) — the number of test cases.The only line of each test case contains three integers aa, xx, yy (1≤a,x,y≤1001≤a,x,y≤100). Points aa, xx, and yy are pairwise distinct.","OutputFor each test case, print ""YES"" (case insensitive) if Bob can choose an integer point that is guarantee to get to the prize faster, regardless of where it appears. Otherwise, print ""NO"" (case insensitive).",,"NoteIn the first example, Bob can choose point 44. If the prize will be at point xx, then Bob's distance is |4−3|=1|4−3|=1 and Alice's distance is |1−3|=2|1−3|=2. If the prize will be at point yy, then Bob's distance is |4−4|=0|4−4|=0 and Alice's distance is |1−4|=3|1−4|=3.In the second example, Bob can choose point 22. If the prize will be at point xx, then Bob's distance is |2−3|=1|2−3|=1 and Alice's distance is |5−3|=2|5−3|=2. If the prize will be at point yy, then Bob's distance is |2−1|=1|2−1|=1 and Alice's distance is |5−1|=4|5−1|=4. In the third example, Bob cannot choose a point to guarantee his victory.",math,
2113,A,A. Shashliks,,"Input Each test contains multiple test cases. The first line contains the number of test cases t ( 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The only line of each test case contains five integers k , a , b , x , and y ( 1 ≤ k , a , b , x , y ≤ 10 9 ) — the initial temperature of the grill, the required temperature for cooking the first and second types of shashlik, respectively, as well as the temperature drop after cooking the first and second types of shashlik, respectively.","Output For each test case, output a single integer — the maximum number of portions of shashlik that you can cook.",,"Note In the first test case, it is advantageous to cook 7 portions of the second type of shashlik; after that, the grill's temperature will be 3 degrees, and we can cook one more portion of the first type of shashlik. In the second test case, we cannot cook either type of shashlik because the grill is too cold. In the fourth test case, it is advantageous to cook 8 portions of the first type of shashlik; after that, it will be possible to cook another 2 portions of the second type of shashlik.","greedy, math, *800",
2114,A,A. Square Year,,"Input The first line of the input contains a single integer t ( 1 ≤ t ≤ 10 4 ) — the number of test cases. The following lines describe the test cases. The only line of each test case contains a string s , consisting of exactly 4 characters. Each character is a digit from 0 to 9 .","Output On a separate line for each test case, output: Two numbers a and b ( a , b ≥ 0 ) such that ( a + b ) 2 = s , if they exist. If there are multiple suitable pairs, you may output any of them. The number − 1 otherwise.",,,"binary search, brute force, math, *800",
2121,B,B. Above the Clouds,,"InputEach test consists of multiple test cases. The first line contains a single integer t (1≤t≤104) — the number of test cases. The description of the test cases follows.The first line of each test case contains a single integer n (3≤n≤105) — the length of the string s. The second line of each test case contains the string s of length n, consisting of lowercase letters of the Latin alphabet. It is guaranteed that the sum of n across all test cases does not exceed 2⋅105.","OutputFor each test case, output ""Yes"" if there exist three non-empty strings a, b, and c that satisfy the conditions, and ""No"" otherwise. You may output the answer in any case (upper or lower). For example, the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.",,"NoteIn the first test case, there exist unique non-empty strings a, b, and c such that a+b+c=s. These are the strings a= ""a"", b= ""a"", and c= ""a"". The concatenation of strings a and c equals a+c= ""aa"". The string b is a substring of this string. In the sixth test case, one can choose a= ""a"", b= ""ab"", and c= ""b"". The concatenation of strings a and c equals a+c= ""ab"". The string b is a substring of this string. In the seventh test case, one can choose a= ""ab"", b= ""a"", and c= ""ca"". The concatenation of strings a and c equals a+c= ""abca"". The string b is a substring of this string.","constructive algorithms, greedy, strings",
2107,B,B. Apples in Boxes,,"Input Each test contains multiple test cases. The first line contains the number of test cases t ( 1 ≤ t ≤ 10 4 ). The description of the test cases follows. The first line of each test case contains two integers n , k ( 2 ≤ n ≤ 10 5 , 1 ≤ k ≤ 10 9 ). The second line of each test case contains n integers a 1 , a 2 , … , a n ( 1 ≤ a i ≤ 10 9 ). It is guaranteed that the sum of n over all test cases does not exceed 10 5 .","Output For each test case, print ""Tom"" (without quotes) if Tom will win, or ""Jerry"" (without quotes) otherwise.",,"Note Note that neither player is necessarily playing an optimal strategy in the following games, just to give you an idea of how the game is going. In the first test case of the example, one possible situation is shown as follows. Tom takes an apple from the first box. The array a becomes [ 1 , 1 , 2 ] . Tom does not lose because max ( 1 , 1 , 2 ) − min ( 1 , 1 , 2 ) = 1 ≤ k . Jerry takes an apple from the first box as well. The array a becomes [ 0 , 1 , 2 ] . Jerry loses because max ( 0 , 1 , 2 ) − min ( 0 , 1 , 2 ) = 2 > k .","games, greedy, math, *1100",
